year,operator,route,ac_type,collision,registration,all_aboard,passengers_on_board,crew_aboard,passenger_fatalities,crew_fatalities,on_air_fatalities,ground,total_fatalities,countries,summary
1931,Cidna,Constantinople - Budapest,Fokker F-Vii,0,F-Algt,7,5,2,5,2,7,0,7,Bulgaria,The aircraft caught fire in mid air and crashed.
1931,American Airways,Cincinnati - Atlanta,Ford 5-At-C Tri Motor,0,Nc9662,6,4,2,4,2,6,0,6,United States,Crashed from a height of 500 feet on the banks of Little Miami River shortly after taking off.  Engine failure due to a broken hub on the right engine which led to the detachment of the motor from the aircraft.
1931,Cidna,Paris - Bucharest,Fokker F-Viib-3M,0,F-Aigt,6,4,2,4,2,6,0,6,Romania,Crashed in low overcast and darkness while en route.
1931,Pacific Air Transport,"Oakland, Ca - Seattle, Wa",Boeing 40,0,Nc10347,4,3,1,3,1,4,0,4,United States,Crashed into San Francisco Bay shortly after taking off from Oakland airport.
1931,Deutsche Lufthansa,Sydney - New York,Heinkel He-2,0,D-1717,3,0,3,0,3,3,0,3,Canada,Crashed into the sea while en route.
1931,"Ny, Phil., Washington Aw","Newark, Nj  - Camden, Nj - Washington Dc",Lockheed Orion 9,0,Nc12221,5,4,1,4,1,5,0,5,United States,Crashed  onto a golf course and burst into flames after circling the airport twice to land.
1931,Union Airways,Durban - Cape Town,De Havilland Dh.80,0,Zs-Acd,3,2,1,2,1,3,0,3,South Africa,"Flew into a thunderstorm over mountains, lost a wing and crashed."
1931,Varney Air Lines,"Portland,  Or - Pasco, Wa",Boeing 40,0,Nc10338,1,0,1,0,1,1,0,1,United States,Crashed in fog while attempting to land.
1931,Braniff Airways,Kansas City - Chicago,Lockheed Vega 5,0,Nc433E,6,5,1,2,0,2,0,2,United States,Crashed attempting to land at an alternate airfield in a sleet storm. The plane struck the roof of a barn adjacent to the airfield and was destroyed. Icing.
1931,Klm Royal Dutch Airlines,Djakarta - Amsterdam -  Bangkok - Rangoon (Burma),Fokker F-Viib-3M,0,Ph-Afo,7,3,4,2,3,5,0,5,Thailand,"Take off  was made with the  emergency hatch in cockpit roof open. This spoiled the lift and aircraft didn't become airborne.  At the end of the field, the aircraft crashed into a dam."
1931,Aeropostale,Marseille - Algiers,Cams 56,0,F-Aiox,2,0,2,0,2,2,0,2,Algeria,The crew crashed into the sea after a hydraulic failure and fire.
1932,Northwest Airways,"Rockford - Chicago, Il - Madison, Wi",Stinson Sm-2A,0,Nc443H,1,0,1,0,1,1,0,1,United States,"The pilot lost his directions in heavy fog. He decided to bail out and abandoned the aircraft. While doing so, he hit the horizontal stabilizer and was killed. The aircraft then crashed into a residential area,"
1932,Century Pacific Lines,"San Francisco - Bakersfield - Los Angeles, Ca",Stinson Sm-6000B,0,Nc10813,8,7,1,7,1,8,0,8,United States,"Crashed into a canyon, in mountains, during a blizzard. Wreckage found a week later."
1932,Transamerican Airlines,Chicago - Kalamazoo,Stearman C-3Mb,0,Nc6411,1,0,1,0,1,1,0,1,United States,The mail plane crashed in a snowstorm.
1932,Century Air Lines,Training,Stinson Sm-6000B,0,Nc11122,5,0,5,0,3,3,0,3,United States,"Crashed into a skeleton of an old windmill, 500 yards from the edge of the field while practicing night landings."
1932,American Airways,"Phoenix, Az - Los Angeles, Ca",Fokker F-10A,0,Nc652E,7,5,2,5,2,7,0,7,United States,The crew reduced altitude in foggy conditions to maintain visual contact with the ground. Crashed into an apple orchard after striking power lines. One survivor died the next day.
1932,Trans Continental And Western Air,Columbus - Mckeesport,Northrop Alpha 3,0,Nc966Y,1,0,1,0,1,1,0,1,United States,The mail plane pilot drowned when his parachute tangled in the fuselage and he was dragged into the Ohio River after his plane crashed.
1932,Air Orient,Damascus - Baghdad - Karachi,Farman F-190,0,"F-AjdpF-Ajdp",3,1,2,1,2,3,0,3,Iraq,Crashed into the ground during a sand storm.
1932,Pacific Air Transport,San Diego - Burbank - Oakland,Boeing 40,0,Nc5589,3,2,1,2,1,3,0,3,United States,Crashed and burned  in fog while attempting to land at Burbank Airport.
1932,Panagra,"Santiago, Chile - Mendosa, Argentina",Ford 5-At-C Tri Motor,0,Nc403H,9,6,3,6,3,9,0,9,Chile,"The aircraft crashed in a severe snowstorm in the Andes Mountains.  The wreckage was buried by ice and snow and wasn’t found until March 22, 1934."
1932,Air Orient,Marseille - Naples - Beyrouth - Saigon,Cams 53,0,F-Aiqy,7,3,4,0,0,0,0,0,Lebanon,Crrashed and sunk while landing in Beyrough harbor.
1932,A B Aerotransport,Amsterdam - Hanover - Copenagen - Malmö,Junkers G-23,0,Se-Aae,2,0,2,0,2,2,0,2,Germany,The crew radioed they had problems with engine 3. The crew lowered their altitude and attempted an emergency landing. In low visibility and at night they hit a chimney and crashed.
1932,American Airways,El Paso - Dallas,Fokker F-10,0,Nc9716,4,2,2,1,2,3,0,3,United States,The mail plane struck a mountain and burned after encountering poor weather conditions.
1932,New England Airways,Sydney - Lismore - Brisbane,De Havilland Dh-80,0,Vh-Upm,3,2,1,2,1,3,0,3,Australia,The left wing and rudder detached in strong winds and turbulence after the pilot made a sharp left turn.
1932,Aeropostale,Dakar - Port Etienne - Algiers - Paris,Latecoere 28,0,F-Ajip,1,0,1,0,1,1,0,1,Mauritania,Crashed shortly afer taking off.
1932,Deutsche Lufthansa,London - Cologne - Berlin,Junkers W-33,0,D-2017,2,0,2,0,2,2,0,2,United Kingdom,The mail plane ditched into the English Channel after encountering 60 mile-an-hour gale force winds.
1932,Deutsche Lufthansa,Nuremberg - Frankfort,Junkers F-13,0,D-724,5,3,2,3,2,5,0,5,Germany,"Crashed into mountainous terrain in the Spessart mountains in fog, after a wing separated from the aircraft due to overstressing.."
1932,Hunter Airways,"Little Rock, Ar - Memphis, Tn",Travel Air 6000,0,Nc369M,2,1,1,1,1,2,0,2,United States,Became lost and circled  until the plane struck an oak tree and crashed onto a island in the bayou.
1933,Eastern Air Transport,Test Flight,Curtiss Condor 18,0,Nc185H,2,0,2,0,2,2,0,2,United States,Went into a vertical bank and crashed and burned.
1933,American Airways,Big Springs - San Antonio,Stearman 4,0,Nc11721,1,0,1,0,1,1,0,1,United States,The pilot of the mail plane lost his bearings and crashed into the hillside in poor visibility.
1933,Pan American Grace Airways,"Mendoza, Argentina - Santiago, Chili",Fairchild Fc-2W,0,Nc9723,2,0,2,0,2,2,0,2,Argentina,Crashed and burned.
1933,Varney Airlines,Burbank - San Francisco,Lockheed Orion 9,0,Nc12226,3,2,1,2,1,3,11,14,United States,"The aircraft crashed into tops of two houses and smashed into a third, bursting into flames in heavy rain.  An unusual and unforeseen condition of the weather developed its intensity in the immediate locality of the accident.  The ceiling suddenly dropped as the plane approached its destination."
1933,Imperial Airways,"Cologne, Germany - Croydon, England",Armstrong Whitworth Argosy Ii,0,G-Aaci,15,12,3,12,3,15,0,15,Belgium,"The airliner was crusing at about 4,000 feet when fire was observed coming out of its tail section. The pilot tried to make an emergency landing but the fuselage split in two causing the aircraft to crash and burn. Although never proven, this is thought to be the first airline disaster caused by an act of satotage. The fire was thought to have been started by a passenger, Dr. Voss,  in an attempt to commit suicide. The plane was named Cit y of Liverpool."
1933,Air Orient,Corfu - Naples,Cams 53-1,0,F-Alce,8,5,3,2,3,5,0,5,Italy,Crashed into a mountain after encountering a mountain wave..
1933,Aeropostale - La Tecoere Company,Paris - Morroco,Latecoere 28-1,0,F-Ajix,6,3,3,3,3,6,0,6,Spain,Crashed after being forced down to the ground by strong downdrafts.
1933,Palwaukee,Sightseeing,Sikorsky S-38B (Flying Boat),0,Nc-141M,9,7,2,7,2,9,0,9,United States,"After attempting to land in lake Michigan the pilot encounter rough water and aborted the landing. While taking off the right wing separated from the plane due to the previous rough landing,"
1933,Societa Anonima Aero Expresso Italiana,Athens - Rhodes,Cmasa Wal (Flying Boat),0,I-Azee,6,2,4,2,4,6,0,6,Aegean Sea,The float plane was forced to ditch in gale force winds. No trace of the plane or those onboard were ever found.
1933,Trans Continental And Western Air,"Amarillo, Tx - Albuquerque, Nm",Ford 5-At-B Tri Motor,0,Nc9607,5,3,2,3,2,5,0,5,United States,Crashed into a mountain slope  during a storm while attempting to make an emergency landing.
1933,Aeroput,"Ljubjana - Susak, Croatia",Farman F-306,0,Yu-Sah,8,6,2,6,2,8,0,8,Yugoslavia,Crashed on the grounds of an insane asylum after losing an engine on takeoff.
1933,United Air Lines,Newark - Cleveland - Chicago - Oakland,Boeing 247,0,Nc13304,10,7,3,7,3,10,0,10,United States,"While en route to Chicago, the aircraft was destroyed by an explosive device placed in the cargo hold, consisting of nitro-glycerin and attached to a timing device. Eyewitnesses on the ground reported hearing an explosion shortly after 9 p.m., and told of seeing the plane in flames at an altitude of about 1,000 feet. A second explosion followed after the plane crashed.This was the first proven case of sabotage in the history of commercial aviation."
1933,Deutsche Lufthansa,Berlin - Hamburg,Focke-Wulf A-17,0,D-1403,10,8,2,4,2,6,0,6,Germany,Crashed after striking an obstacle while landing in poor visibility and snow.
1933,Imperial Airways,"Brussels, Belgium - Croydon, England",Avro 10,0,G-Ablu,10,8,2,8,2,10,0,10,Belgium,Crashed  into a field in desnse fog after hitting a radio antenna tower which tore off a wing.
1934,Air France,Saigon - Paris,Dewoitine D-332,0,F-Ammy,14,10,4,10,4,14,0,14,France,"The aircraft crashed while en route in a severe snowstorm.  Icing. The aircraft was named ""Emeraude."""
1934,Boeing Aircraft Company,Salt Lake City - Cheyenne,Boeing 247,0,Nc13357,8,5,3,5,3,8,0,8,United States,"Crashed on top of Parley's Canyon, 20 miles from Salt Lake City shortly after taking off for Cheyenne. Pilot error. The crew failed to gain sufficient altitude to clear rapidly rising terrain."
1934,Pan American Airways (Scadta),Quiddo - Cartago,Sikorsky S-38 Flying Boat,0,Nc-9107,6,4,2,3,2,5,0,5,Colombia,"Scadta was a Pan Am subsidiary.  It was operating a domestic flight, which crashed in the Colombian jungle, which was called ""Green Hell."" Five Goigira Indians, who were canoeing up the Uribe River, found pieces of clothing, and then dead bodies of five people from the crash, and the wreckage of the aircraft.  They also found a man who was alive, but dazed, exhausted, half crazy and unable to speak.  They carried him for seven days through the jungle to civilization.  He later recovered, and his name was Newton C. Marshall, General Manager of South American Gold & Platinum Company.  He was the only survivor."
1934,Air France,"Dieppe, France - New Haven, England",Wibault 282T,0,F-Amhp,6,3,3,3,3,6,0,6,United Kingdom,Crashed into the English Channel and sunk immedately in fog.
1934,Air France,"Croydon, England - Paris, France",Liore-Et-Olivier 213,0,F-Aivg,2,0,2,0,2,2,0,2,United Kingdom,The cargo plane struck an aerial mast and crashed into houses while attempting to take off.
1934,American Airways,New York - Chicago,Curtiss Condor T-32,0,Nc12354,7,4,3,4,3,7,0,7,United States,"Crashed into Last Chance Hill in the Catskill Mountains at an altitude of 2,000 feet in fog and thunderstorms while en route. Pilot deviated from the prescribed course and flew over hazardous terrain."
1934,Panagra,Buenos Aires - Santiago,Ford 5-At-C Tri-Motor,0,Nc8417,10,7,3,3,3,6,0,6,Argentina,"Crashed into Mar Chiquita Lagoon during a heavy rainstorm. The aircraft was named ""San Pedro."""
1934,Aerevias Centrales Air Service,Mexico - Burbank,Lockheed Orion,0,Xa-Bej,1,0,1,0,1,1,0,1,United States,Crashed while en route to pick up passengers. The plane crashed near a fire station in heavy fog and burst into flames killing the pilot.
1934,United Air Services,San Bernardion - Los Angeles,Lockheed Vega,0,Nc32E,4,3,1,2,1,3,0,3,United States,Failed to gain altitude and struck a grove of trees while attempting to take off. The plane came to rest in a watermelon patch.
1934,Swissair,Zurich - Stuttgart - Leipzig - Berlin,Curtiss At-32C Condor,0,Ch-170,12,9,3,9,3,12,0,12,Germany,"The aircraft crashed during a violent storm near the Swiss - Germany border. The plane fell from a height of 3,000 feet, bursting into flames. Failure of the right wing caused by fractures in the structure which occurred because of  oscillations in the wing."
1934,Rapid Air Transport,Kansas City - Saint Joseph - Omaha,Stinson  Sm-6000B,0,Nc11118,5,4,1,4,1,5,0,5,United States,The plane crashed about 11 miles from St. Joseph in heavy fog. Pilot error in taking off in dangerous weather conditions and turning too close the the ground in a fog-bound area. Inaccurate weather conditions reported to the pilot.
1934,Hillman'S Airways,Croydon - Paris,De Havilland 89 Dragon Rapide,0,G-Acpm,7,6,1,6,1,7,0,7,United Kingdom,"While overflying The Channel, the pilot encountered poor weather conditions with light rain and fog. He decided to return but due to low visibility and while cruising VFR, he was unable to distinguish the water surface and eventually lost control of the aircraft that crashed into the sea some five km off Folkestone. The pilot""s lack of skill and knowledge in matters of navigation ."
1934,Holymans Airways,"Launceston, Tasmania - Melbourne, Australia",De Havilland Dh-86,0,Vh-Urn,11,9,2,9,2,11,0,11,Australia,Crashed 10 miles off the coast under unknown circumstances
1934,Holdens Air Transport Service,Rabaul - Kaiapit,De Havilland Dh-61,0,Vh-Uhw,4,2,2,2,0,2,0,2,Australia,"On final approach to Kaiapit, the aircraft was too low and hit a house short of runway and caught fir. The aircraft was named ""Canberra."""
1934,Rapid Air Transport,Omaha - Kansas City,Stinson Sm-6000-B,0,Nc10809,2,0,2,0,2,2,0,2,United States,"While flying at night in marginal weather conditions, the pilot flew too close to the ground  hit trees and crashed in flames in a wooded area.  The pilot committed an error in judgment in turning too close to the ground in a fog bound area."
1934,Qantas,London - Sydney,De Havilland Dh-86,0,Vh-Usg,4,3,1,3,1,4,0,4,Australia,The aircraft suddenly went out of control and crashed to the ground on its delivery flight from England to Brisbane. Improper loading of parts resulting in an aft center of gravity.
1934,Deutsche Lufthansa,Berlin - Hanover,Junkers F-13,0,D-Omas,3,0,3,0,3,3,0,3,Germany,Crashed under unknown circumstances
1934,Braniff Airlines,"Kansas City, Mo - Chicago, Il",Lockheed Vega 5C,0,Nc106W,1,0,1,0,1,1,0,1,United States,The mail plane crashed to the ground from a low altitude. Icing.
1934,Cubana De Aviacion,Havana - Santiago De Cuba,Ford 4-At-E Tri-Motor,0,Nm-7,8,5,3,2,2,4,0,4,Cuba,Crashed into a mountain in poor weater condtions and low visiblity while en route.
1934,Klm Royal Dutch Airlines,"Amsterdam - Batavia, Java",Douglas Dc-2-115A,0,Ph-Aju,7,3,4,3,4,7,0,7,Syria,"While flying over the Iraqi Desert at night, the crew encountered poor weather conditions and decided to divert to Rutbah Wells. On approach, the aircraft impacted the ground and exploded.16 km from Rutbah Wells airfield. The aircraft was named ""Uiver"" (Dutch word for stork)."
1934,American Airlines,"Louisville, Ky - Nashville, Tn",Lockheed Orion 9D,0,Nc12286,1,0,1,0,1,1,0,1,United States,"Crashed into Big Pilot mountain, 50 feet from the top of the summit, four miles from Sunbright, in poor visibility. The battery-generator system failed, thus causing an error in the ship's compass and probably affecting other essential navigation instruments."
1935,Trans Continental And Western Air,"Newark, Nj - Columbus, Oh",Consolidated Fleetster,0,Nc13212,1,0,1,0,1,1,0,1,United States,The mail plane crashed and burned soon after taking off in a blinding snowstorm.
1935,Deruluft,Koenigberg - Berlin,Junkers Ju-52/3M,0,D-Aren,11,8,3,8,3,11,0,11,Germany,"Crashed full speed into a hill, 450 feet high in rain and fog. Icing."
